id,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
441,Mortal Kombat 11,https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt,2019,M,7.8,"3,493","When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
442,Mortal Kombat 11,https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt,2019,M,7.8,"3,492","When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
443,Diablo III,https://www.imdb.com/title/tt2186735/?ref_=adv_li_tt,2012,M,7.9,"3,488","Twenty years after the events of Diablo II (2000), Deckard Cain and his niece Leah are in Tristram Cathedral when a mysterious star falling from the sky strikes the Cathedral, creating a deep crater into which Deckard Cain disappears.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
444,Half-Life: Counter-Strike,https://www.imdb.com/title/tt0275393/?ref_=adv_li_tt,2000,M,8.5,"3,487","A tactical FPS game, in which players assume the roles of members of combating teams of the governmental counter-terrorist forces, or various terrorist militants opposing them.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
445,Resident Evil 3,https://www.imdb.com/title/tt11419114/?ref_=adv_li_tt,2020,M,7.8,"3,483","Re-imagining of Resident Evil 3: Nemesis (1999). Jill Valentine escapes the crumbling Raccoon City amidst the nightmarish outbreak of the T-virus, a biological weapon developed by Umbrella, while being pursued by the unrelenting bioweapon Nemesis.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
446,Resident Evil 3,https://www.imdb.com/title/tt11419114/?ref_=adv_li_tt,2020,M,7.8,"3,479","Re-imagining of Resident Evil 3: Nemesis (1999). Jill Valentine escapes the crumbling Raccoon City amidst the nightmarish outbreak of the T-virus, a biological weapon developed by Umbrella, while being pursued by the unrelenting bioweapon Nemesis.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
447,Mortal Kombat,https://www.imdb.com/title/tt0203701/?ref_=adv_li_tt,1992,M,8,"3,438",Seven martial artists from Earth must battle in sorcerer Shang Tsung's super secret tournament.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
448,Mortal Kombat,https://www.imdb.com/title/tt0203701/?ref_=adv_li_tt,1992,M,8,"3,437",Seven martial artists from Earth must battle in sorcerer Shang Tsung's super secret tournament.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
449,The Walking Dead: A New Frontier,https://www.imdb.com/title/tt5785978/?ref_=adv_li_tt,2016,M,7.7,"3,435",A teenage Clementine and a new survivor named Javier are brought together when a new threat worse than the dead arises.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
450,Prince of Persia: The Two Thrones,https://www.imdb.com/title/tt0483781/?ref_=adv_li_tt,2005,M,8.5,"3,432","The Prince of Persia makes his way home to Babylon, bearing with him Kaileena, the enigmatic Empress of Time, and unspeakable scars from the Island of Time.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
451,X-Men Origins: Wolverine,https://www.imdb.com/title/tt1334106/?ref_=adv_li_tt,2009,,7.9,"3,427","Based on the film, the player controls Logan, a veteran who used to work for William Stryker in his gang of mutants. Now, Stryker has come back to Logan for help. Play as Wolverine as you hunt down Sabretooth and fight other mutants.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
452,The Legend of Zelda: A Link to the Past,https://www.imdb.com/title/tt0263641/?ref_=adv_li_tt,1991,E,9.3,"3,420","The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
453,Lego Marvel Super Heroes,https://www.imdb.com/title/tt2620204/?ref_=adv_li_tt,2013,E10+,8.2,"3,415","When the Silver Surfer and his surfboard are knocked out of the sky, shattering the board into bricks that are scattered throughout the Marvel Universe, Nick Fury calls in the heroes of the Marvel Universe to retrieve the ""cosmic bricks"", before villains, like Loki or Magneto, can take them.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
454,The Elder Scrolls III: Morrowind,https://www.imdb.com/title/tt0314015/?ref_=adv_li_tt,2002,T,8.8,"3,415","The protagonist travels by Morrowind, eastern province of the Septim Empire in Tamriel. He/she can save it from enslavement or explore for personal purposes.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
455,The Elder Scrolls III: Morrowind,https://www.imdb.com/title/tt0314015/?ref_=adv_li_tt,2002,T,8.8,"3,414","The protagonist travels by Morrowind, eastern province of the Septim Empire in Tamriel. He/she can save it from enslavement or explore for personal purposes.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
456,Spider-Man 3,https://www.imdb.com/title/tt0837564/?ref_=adv_li_tt,2007,T,6.4,"3,400","Spider-Man is back to save the city with his usual hero work, only this time he bonds with an alien substance known as symbiote which turns his hero days and personal life into something ugly.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
457,Spider-Man 3,https://www.imdb.com/title/tt0837564/?ref_=adv_li_tt,2007,T,6.4,"3,398","Spider-Man is back to save the city with his usual hero work, only this time he bonds with an alien substance known as symbiote which turns his hero days and personal life into something ugly.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
458,Undertale,https://www.imdb.com/title/tt5238848/?ref_=adv_li_tt,2015,E10+,8.8,"3,396","Enter the Underground, a massive subterranean cave where monsters, who once lived harmoniously with humans on the surface, now have been banished after losing a war with humanity.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
